,date,account_value
115,2024-03-18,1254697.4634233685
116,2024-03-19,1259121.2239710065
117,2024-03-20,1273819.7449632855
118,2024-03-21,1280472.8954073163
119,2024-03-22,1272093.4739290448
120,2024-03-25,1265182.3112283917
121,2024-03-26,1262766.0462480756
122,2024-03-27,1263507.2253938885
123,2024-03-28,1261258.4241472455
124,2024-04-01,1261525.4755045148
125,2024-04-02,1257564.476622221
126,2024-04-03,1254452.220926878
127,2024-04-04,1230980.758867857
128,2024-04-05,1248775.1016993658
129,2024-04-08,1248848.6943303626
130,2024-04-09,1250236.9929098075
131,2024-04-10,1243919.8581503623
132,2024-04-11,1243484.806945513
133,2024-04-12,1232274.2476192038
134,2024-04-15,1197923.6531824896
135,2024-04-16,1203258.2738871404
136,2024-04-17,1201003.7972197249
137,2024-04-18,1193137.8676601737
138,2024-04-19,1201059.026073107
139,2024-04-22,1211201.6115757315
140,2024-04-23,1220620.3729511588
141,2024-04-24,1223658.7792660086
142,2024-04-25,1214236.2746158927
143,2024-04-26,1215947.6112476676
144,2024-04-29,1220365.3965793937
145,2024-04-30,1198935.4383198111
146,2024-05-01,1198259.2663914054
147,2024-05-02,1208429.2404171317
148,2024-05-03,1214200.703151354
149,2024-05-06,1222361.1313473075
150,2024-05-07,1227275.499736437
151,2024-05-08,1230604.6319347708
152,2024-05-09,1230322.5282551139
153,2024-05-10,1236195.7650677054
154,2024-05-13,1235226.552798876
155,2024-05-14,1235774.7577854483
156,2024-05-15,1255721.9364010184
157,2024-05-16,1263929.1102253287
158,2024-05-17,1267909.8073040335
159,2024-05-20,1267763.4631992667
160,2024-05-21,1268458.5710254996
161,2024-05-22,1267489.5954090445
162,2024-05-23,1248857.901225695
163,2024-05-24,1243677.2640873282
164,2024-05-28,1235298.0132404654
165,2024-05-29,1234261.603694567
166,2024-05-30,1154903.2015415519
167,2024-05-31,1187787.1659522916
168,2024-06-03,1188665.643266287
169,2024-06-04,1193001.2518440152
170,2024-06-05,1194897.3987670804
171,2024-06-06,1206369.8437782193
172,2024-06-07,1199247.2847190762
173,2024-06-10,1203375.0381904508
174,2024-06-11,1198379.5608344937
175,2024-06-12,1188636.8748451138
176,2024-06-13,1180290.0263229276
177,2024-06-14,1187700.0346275235
178,2024-06-17,1192792.419652548
179,2024-06-18,1196797.4664207364
180,2024-06-20,1213722.1158691312
181,2024-06-21,1221601.6138587857
182,2024-06-24,1218075.6973396207
183,2024-06-25,1213316.9955230618
184,2024-06-26,1218502.5344024564
185,2024-06-27,1229552.466424551
186,2024-06-28,1227090.3190132047
187,2024-07-01,1228915.9877143765
188,2024-07-02,1233436.7371574307
189,2024-07-03,1240634.4416824246
190,2024-07-05,1254154.709935751
191,2024-07-08,1243177.33913954
192,2024-07-09,1236266.3758903334
193,2024-07-10,1244341.2240958998
194,2024-07-11,1236162.7589431594
195,2024-07-12,1240290.2823654006
196,2024-07-15,1240636.5136276076
197,2024-07-16,1253120.8357292006
198,2024-07-17,1252863.4593292067
199,2024-07-18,1242464.5326591323
200,2024-07-19,1236061.3973251174
201,2024-07-22,1246888.7241302321
202,2024-07-23,1249517.1732955764
203,2024-07-24,1232464.0622344802
204,2024-07-25,1237089.982291075
205,2024-07-26,1257111.8387104552
206,2024-07-29,1252941.7120281088
207,2024-07-30,1246271.0319753133
208,2024-07-31,1243766.541252657
209,2024-08-01,1239624.099041506
210,2024-08-02,1212123.062939211
211,2024-08-05,1186009.0474172079
212,2024-08-06,1191121.118004366
213,2024-08-07,1190607.6022992574
214,2024-08-08,1214120.757572695
215,2024-08-09,1224033.692665621
216,2024-08-12,1220059.66155295
217,2024-08-13,1229279.5848584615
218,2024-08-14,1238090.6953549825
219,2024-08-15,1272796.061489626
220,2024-08-16,1276897.311592623
221,2024-08-19,1285224.9497876607
222,2024-08-20,1285650.1579137288
223,2024-08-21,1282506.407848879
224,2024-08-22,1277685.2755589925
225,2024-08-23,1289789.5767102682
226,2024-08-26,1295216.333515688
227,2024-08-27,1294031.9542394124
228,2024-08-28,1284837.7677998983
229,2024-08-29,1287842.0577588521
230,2024-08-30,1287456.7558522664
231,2024-09-03,1276704.706551119
232,2024-09-04,1274316.7270665609
233,2024-09-05,1269225.6680341207
234,2024-09-06,1256106.2626042806
235,2024-09-09,1269126.7242474996
236,2024-09-10,1275449.138733431
237,2024-09-11,1285976.421078249
238,2024-09-12,1296360.9165082418
239,2024-09-13,1306788.1246152364
240,2024-09-16,1316752.8322492086
241,2024-09-17,1310275.050995394
242,2024-09-18,1302515.1184392415
243,2024-09-19,1325294.0325017415
244,2024-09-20,1333980.5876088582
245,2024-09-23,1331775.9670834981
246,2024-09-24,1340348.0504422628
247,2024-09-25,1347539.2680402242
248,2024-09-26,1348525.560658022
249,2024-09-27,1350877.6444249593
250,2024-09-30,1350586.2950101339
251,2024-10-01,1342457.699810549
252,2024-10-02,1349321.8249631368
253,2024-10-03,1346630.4652142965
254,2024-10-04,1362938.025501772
255,2024-10-07,1345340.6919293844
256,2024-10-08,1357524.5517545186
257,2024-10-09,1360090.0787930929
258,2024-10-10,1358650.3059354268
259,2024-10-11,1364470.303074404
260,2024-10-14,1373115.848335787
261,2024-10-15,1375457.939892336
262,2024-10-16,1381792.8020863973
263,2024-10-17,1383944.8655705892
264,2024-10-18,1382639.4262319051
265,2024-10-21,1371306.8718266927
266,2024-10-22,1373622.5043569051
267,2024-10-23,1370221.5684133016
268,2024-10-24,1369945.4898310415
269,2024-10-25,1370039.8715861074
270,2024-10-28,1379661.92856864
271,2024-10-29,1382189.4209621337
272,2024-10-30,1378324.4267248823
273,2024-10-31,1359914.2714720748
274,2024-11-01,1369013.17545233
275,2024-11-04,1371254.144553282
276,2024-11-05,1381189.2917144757
277,2024-11-06,1407139.505051741
278,2024-11-07,1412114.2861033767
279,2024-11-08,1434957.1731349318
280,2024-11-11,1462930.0812655776
281,2024-11-12,1462065.5652247756
282,2024-11-13,1466542.5325099318
283,2024-11-14,1448196.6901141494
284,2024-11-15,1436252.3046580642
285,2024-11-18,1431808.752064833
286,2024-11-19,1440996.9752475112
287,2024-11-20,1447594.7833949416
288,2024-11-21,1472841.1072779982
289,2024-11-22,1501600.3276873915
290,2024-11-25,1500639.4176455825
291,2024-11-26,1518408.5208789199
292,2024-11-27,1498691.0865222304
293,2024-11-29,1501255.888947615
294,2024-12-02,1504589.7560283034
295,2024-12-03,1503224.8672038405
296,2024-12-04,1560251.661576399
297,2024-12-05,1555035.9626094191
298,2024-12-06,1557730.9565211623
299,2024-12-09,1528013.9509860366
300,2024-12-10,1529981.5933162062
301,2024-12-11,1540222.2491809218
302,2024-12-12,1540873.398336691
303,2024-12-13,1537204.74377001
304,2024-12-16,1544207.667746935
305,2024-12-17,1536700.2576247083
306,2024-12-18,1491691.1766348707
307,2024-12-19,1493359.6861109945
308,2024-12-20,1504539.1143416846
309,2024-12-23,1497439.172545023
310,2024-12-24,1514036.0785660346
311,2024-12-26,1511860.0145020087
312,2024-12-27,1497073.0539612372
313,2024-12-30,1480521.4133240683
314,2024-12-31,1477677.5728080235
315,2025-01-02,1468455.5187357962
316,2025-01-03,1479026.57368149
317,2025-01-06,1473057.501810839
318,2025-01-07,1462204.9759774725
319,2025-01-08,1469343.7168298285
320,2025-01-10,1446633.3005700628
321,2025-01-13,1447199.1656920568
322,2025-01-14,1454382.0000998632
323,2025-01-15,1465603.409905161
324,2025-01-16,1463720.430294718
325,2025-01-17,1475936.3644225255
326,2025-01-21,1489293.4279334203
327,2025-01-22,1510201.0927359716
328,2025-01-23,1520401.8863112584
329,2025-01-24,1517298.6781813756
330,2025-01-27,1545888.6994788304
331,2025-01-28,1565123.7101752416
332,2025-01-29,1555409.5764319554
333,2025-01-30,1540103.8583571569
334,2025-01-31,1532300.9871031896
335,2025-02-03,1533759.3258635656
336,2025-02-04,1545588.576084818
337,2025-02-05,1562082.8676726476
338,2025-02-06,1537009.9466139928
339,2025-02-07,1516762.6656462804
340,2025-02-10,1522135.3003394261
341,2025-02-11,1518765.5277793065
342,2025-02-12,1522581.0803115026
343,2025-02-13,1538172.5840155736
344,2025-02-14,1524556.946877207
345,2025-02-18,1533058.9014594213
346,2025-02-19,1529380.2676016942
347,2025-02-20,1495503.4035498754
348,2025-02-21,1468715.340134348
349,2025-02-24,1463640.7419402257
350,2025-02-25,1474422.395287241
351,2025-02-26,1470775.252999033
352,2025-02-27,1451070.7159735814
