,a2c,ddpg,td3,ppo,sac,mean var,dji
2023-12-29,1124257.8656888907,1128173.9803089409,1122279.6986119538,1124782.8206408822,1150381.5032130436,1093313.9749099356,1127303.644447477
2024-01-02,1117144.3632932608,1137549.3682712822,1125860.3445966034,1110980.5660925196,1145735.3588572696,1091377.6448151546,1128066.3558960236
2024-01-03,1108106.23445949,1133641.237514904,1117408.1839940338,1103705.833474073,1137146.3487445072,1086143.9123763817,1119546.4904641206
2024-01-04,1105386.7197156851,1137357.3733791618,1118466.3742406159,1100763.630507841,1137384.9234629825,1083759.7385023406,1119850.032796125
2024-01-05,1105002.7860914175,1137195.6102489738,1116538.3279797821,1101130.317445116,1138084.04572403,1079201.5251293315,1120620.805992519
2024-01-08,1125785.961487383,1143870.7498478203,1128022.5619008332,1116181.050298418,1141628.631623383,1091756.6357019504,1127108.4099452526
2024-01-09,1125552.1496473257,1139049.1956714897,1123931.7061230927,1114290.636488897,1137765.3290454105,1091501.6514920508,1122387.029792715
2024-01-10,1134339.7358518546,1139466.213459423,1128418.7795254975,1123867.7757083185,1146110.299199219,1101736.7772918309,1127488.8309741232
2024-01-11,1145958.091099352,1141128.4446186332,1130417.6415478974,1131800.595999029,1147574.8624354557,1101787.7766885813,1127946.1306998602
2024-01-12,1146518.507633776,1145807.8644489555,1124459.984294632,1132747.7187884462,1139791.2031413272,1092273.379977652,1124415.552490274
2024-01-16,1140904.9254308646,1142064.2487987785,1117899.7698056488,1124059.2157768304,1131713.5007449344,1088633.7654931876,1117480.5799504565
2024-01-17,1142175.4891439383,1140511.092895916,1114933.0332448273,1124434.453763765,1132786.4508868412,1088784.9192051843,1114655.5799329309
2024-01-18,1149804.6922117178,1145220.5354122429,1118291.2505032807,1134784.8276220835,1138858.1605006412,1097028.0121359534,1120695.5816247298
2024-01-19,1163397.1352430289,1171093.0931324272,1125843.0344388275,1150622.448571409,1149172.2284251407,1100214.5698809053,1132515.856523321
2024-01-22,1163695.7011419241,1178772.6240543632,1131106.9720685272,1149965.1977505854,1152183.1200610355,1104755.176816208,1136643.7050951882
2024-01-23,1166498.452717394,1163673.3444866447,1126529.359092453,1147673.638809244,1148735.4179049686,1105639.6902152074,1133761.571821177
2024-01-24,1162064.2541204398,1154866.1188320427,1121576.5060040741,1151776.5157321375,1149325.3374224857,1100257.0557009662,1130798.7042317633
2024-01-25,1175243.2087991773,1181484.1515354423,1128033.973685959,1155963.3868901536,1144368.0441638187,1091929.2366601024,1138059.0676086214
2024-01-26,1188245.3458124371,1187249.0259022026,1128256.5273434906,1152257.4739227542,1149230.3675547794,1095273.8501830953,1139862.6792249226
2024-01-29,1202389.5230394574,1188545.9403919487,1134392.227012375,1165541.4111012246,1157392.1490946964,1097704.0524468163,1146563.160055605
2024-01-30,1205837.6517282696,1195121.177799633,1137584.0628812104,1165152.571255163,1159093.9968463138,1094727.6224003807,1150566.927812773
2024-01-31,1185894.7950731488,1181682.2850384025,1129335.259685257,1151568.7193559282,1151481.1710559085,1088643.3149449893,1141085.1439746378
2024-02-01,1199084.9313188763,1192390.4577678947,1139775.505161026,1158983.1522667406,1160318.4991046146,1100584.2291542673,1152138.150784595
2024-02-02,1205420.95994055,1192710.492405346,1142470.6319653778,1167669.4619422967,1167345.4357997135,1100002.6367413166,1156163.5333729486
2024-02-05,1204193.7023950787,1182102.0702366142,1134512.5415456085,1161931.494310972,1158161.371693726,1091692.5699136455,1147959.1276394338
2024-02-06,1204739.9438120099,1182933.4225849418,1138794.1096913605,1162620.6187950533,1162797.3733264164,1098822.0427223584,1152183.600348548
2024-02-07,1214087.4914461346,1175026.3874210624,1141290.9945447235,1173366.9938563174,1176703.5550166324,1108258.8763510915,1156849.5997984796
2024-02-08,1218990.4963251324,1174913.2480396538,1142623.3794781952,1177264.0397285745,1177280.5801516727,1108692.0590704428,1158314.267494402
2024-02-09,1220307.3931146832,1177123.1520008354,1138619.4833333283,1178359.6783661554,1177589.4369822696,1107548.6942634399,1156680.0694198275
2024-02-12,1214802.9688020917,1183378.4260830192,1144840.9953801422,1174819.423581003,1176718.325295563,1106046.6077022327,1160439.4143292075
2024-02-13,1197031.4770151349,1172893.5877193718,1127420.055110672,1156648.653947294,1160678.594903107,1095598.355676602,1144747.6310729205
2024-02-14,1210594.2020479413,1173731.313675335,1131666.031055191,1168200.8843344783,1166312.0482264713,1095796.9019472823,1149279.6185695
2024-02-15,1216569.8713480206,1186122.8591655998,1144598.035743454,1180170.1985541666,1175659.8113452152,1101773.6762061818,1159713.8570229157
2024-02-16,1212243.0476366254,1180329.3785328178,1141283.9528882294,1174548.8382824191,1172098.8854075626,1100352.8859764999,1155372.8978992489
2024-02-20,1213517.6055361005,1184070.2808956413,1138190.051154831,1172858.0247306535,1169343.451985474,1101172.2138795855,1153453.0335422454
2024-02-21,1209275.704874632,1179167.827927044,1140713.9072720795,1171039.2985656413,1170349.4707957462,1103437.0096678808,1154901.811416323
2024-02-22,1231902.1802965375,1193359.8278316765,1153963.2653653412,1186948.298198595,1187286.9124995426,1117451.1913788337,1168566.9413658564
2024-02-23,1232011.9318491193,1197869.534214428,1156887.316840866,1185998.8097879733,1186567.3668376163,1116549.787000978,1170433.9954326109
2024-02-26,1244406.53233206,1193459.9116138725,1155616.120231369,1188550.8091311129,1186816.8974696354,1114453.7239190685,1168570.5633105417
2024-02-27,1243502.8174692364,1192369.409542492,1149553.2977063446,1185669.9029134805,1183169.097474213,1110164.3625637642,1165674.6432793415
2024-02-28,1244452.8211504193,1189841.8851055412,1145510.139270523,1190410.962336378,1182038.5691157535,1102200.718538401,1164975.0237704723
2024-02-29,1256653.7527033063,1189619.5892261772,1145841.9440457611,1199803.9114062174,1183581.127591248,1097955.22785632,1166391.9051639352
2024-03-01,1269309.120245573,1194752.7003254204,1150420.5569722443,1204889.9868219965,1185001.234204407,1096850.3117349634,1169113.3876656191
2024-03-04,1266389.4919725629,1197330.6566318779,1144771.404140213,1202594.472684885,1178065.5215617374,1083389.45034201,1166195.6191293828
2024-03-05,1239056.9779382916,1194846.6746982841,1130972.6074254303,1187420.0914068583,1161706.365731354,1070109.828631396,1154092.832545346
2024-03-06,1248373.1403795453,1202922.811115673,1134856.9972874909,1192083.5866504915,1164093.737443085,1070512.0087592928,1156361.8056352318
2024-03-07,1252143.9984079571,1204096.972923687,1137479.3446423798,1194960.6195642336,1169781.179429169,1072033.500466402,1160259.1349534253
2024-03-08,1255595.0453783246,1203993.197254589,1137083.9148099213,1192926.7273483523,1167347.581723328,1072859.4518513281,1158205.4923169208
2024-03-11,1259001.9417864056,1202524.7540668754,1142461.4466359406,1194867.916395689,1170200.83995163,1083319.0487875028,1159610.3395070743
2024-03-12,1268207.2092043133,1218432.0370563774,1148247.3376500397,1195364.577660139,1175686.5394145206,1088430.5426123342,1166664.018363026
2024-03-13,1266327.3869653912,1224392.116863659,1147721.854480484,1192898.7199903773,1176013.5358210758,1082540.709012839,1167795.5839848355
2024-03-14,1263497.4431253644,1209898.2477649956,1141672.947879532,1187961.5688389796,1177229.1787768558,1083629.3937117078,1163678.1338993225
2024-03-15,1243346.8929392071,1204803.398491314,1138314.7804562836,1181959.51451029,1168532.1477671817,1079754.5367113324,1157968.5470323537
2024-03-18,1254697.4634233685,1207461.2626117973,1138899.9713704376,1187156.9411941431,1169744.022259827,1079294.973167748,1160231.5614390478
2024-03-19,1259121.2239710065,1212995.3792766838,1149634.7780301361,1194288.4402681522,1181324.5435229496,1093235.6349701078,1169812.7735006376
2024-03-20,1273819.7449632855,1223725.9389576225,1158991.976909378,1205247.586224718,1193983.5105334476,1102773.9096399222,1181817.767578174
2024-03-21,1280472.8954073163,1226378.881077221,1167668.3265721588,1210636.540020067,1202579.4431964115,1097956.6018415082,1189870.869493388
2024-03-22,1272093.4739290448,1218379.287174633,1158190.86020253,1206286.1756465319,1194214.794007416,1092725.830666958,1180734.105095749
2024-03-25,1265182.3112283917,1216878.4705776481,1151504.5945470124,1204500.1245612886,1186537.5749598697,1082092.1988357753,1175880.9328914406
2024-03-26,1262766.0462480756,1215593.3708729057,1152968.4558217316,1203120.450028364,1184624.3938265995,1081733.0875146557,1174944.3680980047
2024-03-27,1263507.2253938885,1233252.448501995,1168258.4557187348,1215342.1965064981,1193373.2747775272,1093560.789432841,1189233.9914134208
2024-03-28,1261258.4241472455,1234953.9113849907,1169062.7366864472,1219249.774427763,1194256.7290316776,1089487.4862411076,1190648.5360683766
2024-04-01,1261525.4755045148,1234739.4294323234,1159514.5795514374,1214718.3214374618,1184869.041993256,1074589.640371074,1183454.536065105
2024-04-02,1257564.476622221,1224457.0456661491,1140595.1484296112,1213611.266454956,1167429.6265269474,1049491.571184381,1171591.7325256942
2024-04-03,1254452.220926878,1223116.73485606,1141879.153510788,1204665.5523612783,1166561.601582642,1048677.303644702,1170302.6707285412
2024-04-04,1230980.758867857,1205894.1357616691,1124929.968456009,1189912.0881808165,1152573.822335358,1039756.9815603002,1154445.4463859885
2024-04-05,1248775.1016993658,1214362.2436413078,1131421.9343488007,1198681.859055603,1161749.7632724002,1041963.4516447631,1163629.6465753112
2024-04-08,1248848.6943303626,1215435.2471241264,1131391.93467305,1197774.7467988927,1162415.9062968448,1042861.133211573,1163293.50674114
2024-04-09,1250236.9929098075,1208360.10878413,1134759.8037068634,1196754.4119607657,1161943.7373477176,1047110.7574917085,1163020.4588466466
2024-04-10,1243919.8581503623,1199075.6153072624,1119555.5450627594,1188543.152845684,1146411.7223750309,1032694.323960798,1150393.541815585
2024-04-11,1243484.806945513,1196078.1746982841,1117942.1623608856,1185830.8543608054,1144005.6942912296,1036569.8899989586,1150320.7524111052
2024-04-12,1232274.2476192038,1187279.6882061271,1105677.1058575897,1156547.1438875846,1132278.507290955,1033506.2896369617,1136088.262352175
2024-04-15,1197923.6531824896,1183865.5479511528,1100439.1511227875,1140045.3670684013,1121065.4371463016,1025741.6840722285,1128666.6640183632
2024-04-16,1203258.2738871404,1182986.8014454155,1104413.3247105866,1137536.6702023963,1129337.0091029361,1031572.839338842,1130576.7140736384
2024-04-17,1201003.7972197249,1161512.1408733635,1109525.0133969574,1134664.6242760886,1129580.352540131,1035519.3072936333,1129211.00725347
2024-04-18,1193137.8676601737,1165347.2804302482,1113363.296783188,1136866.4658775823,1131230.412545319,1040728.1027160671,1129871.1358815779
2024-04-19,1201059.026073107,1186660.1906055717,1119988.34432576,1148653.6333369673,1137125.8458796695,1044224.5047768423,1136182.783424766
